[2026-06-06T11:52:13.641Z] GET http://127.0.0.1:8799/body-map.html → 200 (2ms, 47261B)
[2026-06-06T11:52:13.645Z] GET https://fonts.googleapis.com/css2?family=Sora:wght@400;500;600;700&family=Plus+Jakarta+Sans:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (243ms, 1472B)
[2026-06-06T11:52:13.645Z] GET http://127.0.0.1:8799/design-system/tokens.css → 404 (2ms, ?B)
[2026-06-06T11:53:18.349Z] GET http://127.0.0.1:8799/design/body-map.html → 200 (1ms, 47261B)
[2026-06-06T11:53:18.355Z] GET https://fonts.googleapis.com/css2?family=Sora:wght@400;500;600;700&family=Plus+Jakarta+Sans:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
[2026-06-06T11:53:18.355Z] GET http://127.0.0.1:8799/design-system/tokens.css → 200 (?ms, 5932B)
[2026-06-06T11:53:18.362Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (298ms, 27399B)
[2026-06-06T11:53:18.362Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (235ms, 31881B)
[2026-06-06T11:53:18.362Z] GET https://fonts.gstatic.com/s/sora/v17/xMQ9uFFYT72X5wkB_18qmnndmSdSnh2BAfO5mnuyOo1lfiQwV6-xo6eeIw.woff2 → 200 (257ms, 25367B)
[2026-06-06T11:55:47.553Z] GET http://127.0.0.1:8799/design/body-map.html → 200 (4ms, 47289B)
[2026-06-06T11:55:47.559Z] GET https://fonts.googleapis.com/css2?family=Sora:wght@400;500;600;700&family=Plus+Jakarta+Sans:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
[2026-06-06T11:55:47.559Z] GET http://127.0.0.1:8799/design-system/tokens.css → 200 (?ms, -186B)
[2026-06-06T11:55:47.561Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-06-06T11:55:47.561Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, -815B)
[2026-06-06T11:55:47.561Z] GET https://fonts.gstatic.com/s/sora/v17/xMQ9uFFYT72X5wkB_18qmnndmSdSnh2BAfO5mnuyOo1lfiQwV6-xo6eeIw.woff2 → 200 (?ms, -815B)
[2026-06-06T11:56:44.855Z] GET http://127.0.0.1:8799/design/body-map.html → 200 (2ms, 47289B)
[2026-06-06T11:56:44.859Z] GET https://fonts.googleapis.com/css2?family=Sora:wght@400;500;600;700&family=Plus+Jakarta+Sans:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
[2026-06-06T11:56:44.859Z] GET http://127.0.0.1:8799/design-system/tokens.css → 200 (?ms, -186B)
[2026-06-06T11:56:44.861Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-06-06T11:56:44.861Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, -815B)
[2026-06-06T11:56:44.861Z] GET https://fonts.gstatic.com/s/sora/v17/xMQ9uFFYT72X5wkB_18qmnndmSdSnh2BAfO5mnuyOo1lfiQwV6-xo6eeIw.woff2 → 200 (?ms, -815B)
[2026-06-06T11:57:07.321Z] GET http://127.0.0.1:8799/design/body-map.html → 200 (2ms, ?B)
[2026-06-06T11:57:07.325Z] GET https://fonts.googleapis.com/css2?family=Sora:wght@400;500;600;700&family=Plus+Jakarta+Sans:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
[2026-06-06T11:57:07.325Z] GET http://127.0.0.1:8799/design-system/tokens.css → 200 (?ms, -186B)
[2026-06-06T11:57:07.327Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-06-06T11:57:07.327Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, -815B)
[2026-06-06T11:57:07.327Z] GET https://fonts.gstatic.com/s/sora/v17/xMQ9uFFYT72X5wkB_18qmnndmSdSnh2BAfO5mnuyOo1lfiQwV6-xo6eeIw.woff2 → 200 (?ms, -815B)
[2026-06-06T11:58:04.357Z] GET http://127.0.0.1:8799/design/body-map.html → 200 (1ms, ?B)
[2026-06-06T11:58:04.361Z] GET https://fonts.googleapis.com/css2?family=Sora:wght@400;500;600;700&family=Plus+Jakarta+Sans:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
[2026-06-06T11:58:04.361Z] GET http://127.0.0.1:8799/design-system/tokens.css → 304 (?ms, ?B)
[2026-06-06T11:58:04.362Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-06-06T11:58:04.363Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, -815B)
[2026-06-06T11:58:04.363Z] GET https://fonts.gstatic.com/s/sora/v17/xMQ9uFFYT72X5wkB_18qmnndmSdSnh2BAfO5mnuyOo1lfiQwV6-xo6eeIw.woff2 → 200 (?ms, -815B)
[2026-06-06T11:58:34.351Z] GET http://127.0.0.1:8799/design/body-map.html → 200 (1ms, ?B)
[2026-06-06T11:58:34.354Z] GET https://fonts.googleapis.com/css2?family=Sora:wght@400;500;600;700&family=Plus+Jakarta+Sans:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
[2026-06-06T11:58:34.355Z] GET http://127.0.0.1:8799/design-system/tokens.css → 200 (?ms, -186B)
[2026-06-06T11:58:34.356Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (1ms, -814B)
[2026-06-06T11:58:34.357Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, -815B)
[2026-06-06T11:58:34.357Z] GET https://fonts.gstatic.com/s/sora/v17/xMQ9uFFYT72X5wkB_18qmnndmSdSnh2BAfO5mnuyOo1lfiQwV6-xo6eeIw.woff2 → 200 (?ms, -815B)
[2026-06-06T11:58:48.060Z] GET http://127.0.0.1:8799/design/body-map.html → 200 (1ms, ?B)
[2026-06-06T11:58:48.064Z] GET https://fonts.googleapis.com/css2?family=Sora:wght@400;500;600;700&family=Plus+Jakarta+Sans:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
[2026-06-06T11:58:48.064Z] GET http://127.0.0.1:8799/design-system/tokens.css → 200 (?ms, -186B)
[2026-06-06T11:58:48.066Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-06-06T11:58:48.066Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, -815B)
[2026-06-06T11:58:48.066Z] GET https://fonts.gstatic.com/s/sora/v17/xMQ9uFFYT72X5wkB_18qmnndmSdSnh2BAfO5mnuyOo1lfiQwV6-xo6eeIw.woff2 → 200 (?ms, -815B)
